                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2874,                 1.8821,                 1.4972,                0.45945,                0.37725,                0.41438,                0.24159,                  1.747,                 2.3649,                 2.0621,               0.006733,               0.006733,               0.006733
                     35,                 1.3471,                 1.9264,                 1.5563,                0.90045,                0.34906,                0.44707,                0.23948,                 1.8253,                 2.8243,                 1.9727,               0.006634,               0.006634,               0.006634
                     36,                 1.2449,                 1.7401,                 1.4658,                0.92366,                0.32242,                0.65802,                0.42144,                 1.6382,                  2.604,                   1.84,               0.006535,               0.006535,               0.006535
                     37,                 1.2829,                 1.8031,                 1.4666,                0.76022,                0.37504,                0.40756,                0.27863,                 1.5273,                 2.3357,                 1.7944,               0.006436,               0.006436,               0.006436
                     38,                  1.159,                 1.7078,                 1.3895,                0.74242,                0.46061,                0.73511,                0.47713,                 1.6156,                 2.2629,                 1.8558,               0.006337,               0.006337,               0.006337
                     39,                 1.2788,                  1.807,                 1.4771,                0.45582,                0.71048,                0.62737,                0.44386,                 1.5282,                 2.4644,                 1.7531,               0.006238,               0.006238,               0.006238
                     40,                 1.2185,                 1.7549,                 1.4216,                0.54285,                 0.6417,                0.62614,                0.46738,                 1.4982,                  2.508,                 1.7594,               0.006139,               0.006139,               0.006139
                     41,                 1.2404,                 1.7415,                 1.4615,                0.40626,                0.69016,                 0.6303,                0.44646,                 1.4764,                  2.762,                 1.7372,                0.00604,                0.00604,                0.00604
                     42,                 1.1909,                 1.7443,                 1.4538,                0.36689,                0.69016,                0.66393,                0.51744,                 1.5113,                 2.6155,                 1.7223,               0.005941,               0.005941,               0.005941
                     43,                 1.1679,                 1.6109,                 1.4048,                0.54439,                0.64487,                0.67764,                0.40882,                 1.5451,                 2.5668,                 1.7492,               0.005842,               0.005842,               0.005842
                     44,                 1.1581,                 1.6178,                 1.3932,                0.81406,                 0.3226,                0.43757,                  0.266,                 1.5777,                 2.6433,                 1.7633,               0.005743,               0.005743,               0.005743
                     45,                 1.2152,                 1.6365,                 1.4354,                0.45472,                0.40777,                0.46982,                0.27729,                 1.5887,                 2.3889,                 1.7746,               0.005644,               0.005644,               0.005644
